0	Za katere namene se lahko uporabljajo podatki, ki so razkriti kot davčna tajnost?
1	vrste instrumentov zavarovanja po slovenskem davčnem zakonu
2	postopek zavarovanja dolga pri davčnem organu
3	poročun dohodnine in opravljanje dejavnosti
4	mednarodno sodelovanje v upravi
5	informacije za vročitev aktov
6	rok za odločitev davčnega organa o odlogu plačila davka
7	Kakšen je rok za davčni organ, da predlaga vknjižbo zastavne pravice?
8	izjeme pri zahtevah za zavarovanje davkov za državne uporabnike
9	Kakšne so razlike med vročanjem različnih vrst odločitev?
10	Kako se vročajo odločbe, ki se nanašajo na davčno izvršbo?
11	zavrnitev instrumenta zavarovanja s strani davčnega organa
12	Ali je možno obročno plačevanje akontacij davka ali davčnega odtegljaja?
13	ukrepi ob zaprosilu za vročitev
14	maksimalno število obrokov za plačilo davka
15	Kakšne podatke objavlja Generalni finančni urad o neplačnikih davkov?
16	Kakšne informacije mora organ države prosilke navesti v zaprosilu za vročitev?
17	Veljavna dejanja po zadržanju davčne izvršbe
18	Kdaj se lahko dogovor dosežen med pristojnimi organi javno objavi v celoti?
19	Kaj se zgodi, če davčni zavezanec zamudi s plačilom obroka pri obročnem plačilu davka?
20	Na kakšen način lahko zavezanec za davek zagotovi zavarovanje davčne obveznosti?
21	Katere podatke je treba poroÄati v zvezi z dejavnostjo najema nepremiÄnin s strani prodajalca, ki je subjekt?
22	Kakšne podatke davčni organ objavi o zavezancih, ki ne predložijo obračuna davčnega odtegljaja?
23	rezidenstvo prodajalca direktiva EU
24	Razlogi za ustavitev davčne izvršbe
25	Katere informacije mora vsebovati povzetek javno objavljenega dogovora med pristojnimi organi?
26	Kako se lahko preveri istovetnost fizičnega prepisa z elektronskim izvirnikom?
27	Kakšne so obveznosti pristojnega organa v primeru kršitve varstva podatkov?
28	Kako se izvaja obveščanje in poročanje Evropski komisiji?
29	sedeÅ¾ prodajalca subjekta opredelitev
30	informacije o prodajalcu posamezniku najem nepremiÄnin poroÄanje
31	Kdaj davčni organ zbira in razkriva podatke o zavezancu za davek?
32	Ali se poračun dohodnine na letni ravni šteje kot davek, ki se nanaša na opravljanje dejavnosti?
33	Objava obvestil o dokumentih z davčno tajnostjo
34	Kako lahko davčni organ zavrne predlagani instrument zavarovanja?
35	Kako je definiran sedeÅ¾ prodajalca, ki je subjekt, za namene poroÄanja?
36	časovni obseg odloga plačila davka
37	Kaj pomeni predznambo zastavne pravice v kontekstu davčnega zavarovanja?
38	možnosti ukrepanja davčnega zavezanca ob izostanku odločbe davčnega organa
39	pristojbine provizije davki poroÄevalski operater platforme
40	Kakšne ukrepe lahko podjetje sprejme, če davčni organ v roku šestih mesecev ni izdal odločbe o uveljavljanju dogovora?
41	Določitev višine stroškov davčne izvršbe
42	Usmeritve za odjavo od eVročanja na eDavki
43	prekinitev dostopa do omrežja CCN
44	pogoji za javno objavo celotnega dogovora med pristojnimi organi
45	uporaba davčnih podatkov razkritih kot davčna tajnost
46	Postopek vročanja documentov začetek roka
47	Kako se overi fizični prepis odločbe?
48	poročanje o nadomestilu plače med začasno zadržanostjo delavca
49	Overitev fizičnega prepisa odločbe
50	seznami nepredlagateljev in neplačnikov davkov
51	pogoji za plačilo stroškov uglednih neodvisnih oseb s strani davčnega zavezanca
52	V kolikem času mora davčni organ povrniti stroške neupravičene davčne izvršbe?
53	razkritje podatkov o zavezancih za davek
54	Dokazna vrednost skeniranega prepisa odločbe
55	Kaj je potrebno navesti o prodajalcu, ki je subjekt, za poroÄevalsko obdobje?
56	Kakšne so pravice pristojnega organa v primeru kršitve varstva podatkov v drugi državi članici?
57	Kako davčni organ ravna z informacijami o plačanih obveznih dajatvah za motorna vozila?
58	KakÅ¡ne informacije mora vsebovati poroÄilo o prodajalcu, ki je posameznik, v primeru najema nepremiÄnin?
59	rok za vknjižbo zastavne pravice po sklepu davčnega organa
60	obročno plačevanje akontacij davka in davčnega odtegljaja
61	najem nepremiÄnin prodajalec subjekt poroÄanje
62	Kdo nosi stroške neupravičene izvršbe v primeru izterjave obveznosti iz 156. člena zakona?
63	Kateri so primeri instrumentov zavarovanja, ki jih priznava davčni organ?
64	Kdo določa podrobnejše kriterije za ugotavljanje hujše gospodarske škode?
65	Kakšen postopek davčni organ uporabi za pridobitev zastavne pravice?
66	Za katere davčne zavezance veljajo določbe o odlogu in obročnem plačevanju davka po 102. členu?
67	kriteriji za seznam neplačnikov davkov
68	Kako poteka vročanje odločb in sklepov v davčnih postopkih?
69	javna objava informacij o DDV identifikaciji
70	Kako lahko davčni zavezanec varuje svojo poslovno skrivnost pri objavi dogovora?
71	V katerih primerih lahko davčni organ ustavi davčno izvršbo?
72	razdelitev stroškov postopka skupnega dogovarjanja
73	Kaj omogoča člen o širšem sodelovanju v mednarodnih pogodbah?
74	Kdaj se zadrži začeti postopek davčne izvršbe?
75	Kdo lahko prejema dokumente prek portala eDavki?
76	KakÅ¡ne informacije so potrebne za identifikacijo imetnika finanÄnega raÄuna razliÄnega od prodajalca?
77	Kdo je pristojen za določitev višine stroškov davčne izvršbe?
78	Postopek po sklepu o ustavitvi davčne izvršbe
79	ministrska določitev kriterijev hujše gospodarske škode
80	Kakšne informacije o nadomestilu plače zaradi začasne zadržanosti od dela lahko pridobi delodajalec?
81	Kdo ima dostop do priloge odločbe, ki je ne vročajo posamezniku?
82	davčni zavezanec in stroški postopka dogovarjanja
83	Kaj lahko davčni organ dovoli v primeru hujše gospodarske škode pri davčnem zavezancu?
84	Kaj se zgodi, ko pristojni organ obvesti davčni organ, da davčni zavezanec ne uveljavlja dogovora?
85	Katere podatke vkljuÄuje identifikator finanÄnega raÄuna prodajalca?
86	nadomestilo skupni znesek poroÄevalsko obdobje
87	V katerih primerih mora davčni zavezanec kriti stroške uglednih neodvisnih oseb?
88	dostop do priloge odločbe z razlogi
89	Kaj pravijo določbe o odlogu davčne izvršbe?
90	nadomestilo in povračilo stroškov sodelovanja v postopku skupnega dogovarjanja
91	postopek pri kršitvi varstva osebnih podatkov
92	Nosilec stroškov neupravičene izvršbe iz 156. člena
93	Vročanje odločb o obročnem plačilu davka
94	postopek vpisa zastavne pravice na deležu družbenika v družbi
95	Odložitev začetka davčne izvršbe
